asset_name,total_periods,frequency_js,frequency_py,periods_per_year_js,periods_per_year_py,avg_cash_return_js,avg_cash_return_py,annualized_cash_rate_js,annualized_cash_rate_py,cagr_js,cagr_py,cagr_diff,cagr_pct_diff,volatility_js,volatility_py,volatility_diff,volatility_pct_diff,sharpe_js,sharpe_py,sharpe_diff,sharpe_pct_diff,sortino_js,sortino_py,sortino_diff,sortino_pct_diff,maxDrawdown_js,maxDrawdown_py,maxDrawdown_diff,maxDrawdown_pct_diff,skewness_js,skewness_py,skewness_diff,skewness_pct_diff,kurtosis_js,kurtosis_py,kurtosis_diff,kurtosis_pct_diff,var95_js,var95_py,var95_diff,var95_pct_diff,cvar_js,cvar_py,cvar_diff,cvar_pct_diff,finalCumulativeReturn_js,finalCumulativeReturn_py,finalCumulativeReturn_diff,finalCumulativeReturn_pct_diff
assets_Canadian Bonds,537,monthly,monthly,12,12,0.525728,0.525728,0.063087,0.063087,7.659326,7.659326,0.0,0.0,6.191341,6.191341,-0.0,-0.0,0.207281,0.235608,-0.028328,-12.023283,0.223493,0.370401,-0.146907,-39.661737,15.525806,15.525806,-0.0,-0.0,0.480497,0.482293,-0.001796,-0.372439,2.809966,2.858504,-0.048538,-1.698025,-1.992555,-1.974511,-0.018044,0.913834,-3.08841,-3.047823,-0.040587,1.331679,2567.573795,2618.388776,-50.814981,-1.940697
assets_Canadian Long Bonds,657,monthly,monthly,12,12,0.454221,0.454221,0.054506,0.054506,8.52443,8.52443,0.0,0.0,9.225681,9.225681,-0.0,-0.0,0.344547,0.358812,-0.014265,-3.975718,0.36184,0.562268,-0.200428,-35.646299,30.450666,30.450666,0.0,0.0,0.226644,0.227336,-0.000692,-0.304414,2.086425,2.119392,-0.032967,-1.555504,-3.49,-3.474,-0.016,0.460564,-5.049609,-5.002348,-0.047261,0.944774,8481.324411,8713.154527,-231.830116,-2.660691
assets_Global Bonds,416,monthly,monthly,12,12,0.631285,0.631285,0.075754,0.075754,5.276575,5.276575,0.0,0.0,3.350076,3.350076,0.0,0.0,-0.706396,-0.631485,-0.074911,11.862659,-0.63638,-0.761972,0.125592,-16.482488,13.610371,13.610371,0.0,0.0,-0.225665,-0.226755,0.00109,-0.480769,0.811663,0.845363,-0.0337,-3.986417,-1.33015,-1.273525,-0.056625,4.446318,-1.825578,-1.801986,-0.023592,1.309211,487.701337,494.521039,-6.819702,-1.379052
assets_High Yield Bonds,310,monthly,monthly,12,12,0.733903,0.733903,0.088068,0.088068,5.483669,5.483669,0.0,0.0,9.207015,9.207015,-0.0,-0.0,-0.328105,-0.291537,-0.036568,12.543297,-0.276397,-0.351515,0.075118,-21.369886,34.909267,34.909267,0.0,0.0,-1.717152,-1.728303,0.01115,-0.645161,11.388542,11.641317,-0.252775,-2.171358,-3.3065,-3.23945,-0.06705,2.069796,-6.719139,-6.505849,-0.21329,3.278433,291.567107,297.147419,-5.580311,-1.87796
assets_Canadian Equity,657,monthly,monthly,12,12,0.454221,0.454221,0.054506,0.054506,9.036866,9.036866,0.0,0.0,15.461426,15.461426,-0.0,-0.0,0.287634,0.296146,-0.008512,-2.874258,0.266444,0.415728,-0.149284,-35.908945,43.345501,43.345501,-0.0,-0.0,-0.696105,-0.69823,0.002126,-0.304414,2.924397,2.965064,-0.040667,-1.371531,-6.310832,-6.297567,-0.013265,0.210636,-10.280816,-10.160513,-0.120303,1.18402,10967.028021,11306.21258,-339.184559,-2.999984
assets_US Equity,657,monthly,monthly,12,12,0.454221,0.454221,0.054506,0.054506,10.81771,10.81771,0.0,0.0,13.971684,13.971684,0.0,0.0,0.418221,0.427641,-0.00942,-2.202688,0.409096,0.635262,-0.226166,-35.602017,51.239876,51.239876,0.0,0.0,-0.358889,-0.359984,0.001096,-0.304414,1.701648,1.73108,-0.029432,-1.700197,-5.829927,-5.807635,-0.022292,0.383844,-8.382005,-8.304669,-0.077336,0.931231,27012.010116,27591.865594,-579.855479,-2.101545
assets_International Equity,657,monthly,monthly,12,12,0.454221,0.454221,0.054506,0.054506,8.981026,8.981026,0.0,0.0,14.989706,14.989706,-0.0,-0.0,0.286837,0.295617,-0.00878,-2.970013,0.285587,0.438587,-0.153001,-34.884877,47.286213,47.286213,0.0,0.0,-0.078467,-0.078707,0.00024,-0.304414,1.1758,1.2004,-0.0246,-2.049326,-6.510015,-6.506481,-0.003533,0.054304,-9.002786,-8.927248,-0.075539,0.846157,10885.214752,10990.762298,-105.547547,-0.96033
assets_EM Equity,310,monthly,monthly,12,12,0.733903,0.733903,0.088068,0.088068,5.292097,5.292097,0.0,0.0,16.965962,16.965962,0.0,0.0,-0.12933,-0.109485,-0.019845,18.125475,-0.126654,-0.148487,0.021833,-14.703559,49.478174,49.478174,0.0,0.0,-0.257036,-0.258705,0.001669,-0.645161,0.885745,0.932587,-0.046842,-5.022779,-7.588241,-7.470453,-0.117788,1.576721,-10.649102,-10.457798,-0.191304,1.829293,254.227917,278.928736,-24.700819,-8.855602
assets_Real Estate,477,monthly,monthly,12,12,0.58284,0.58284,0.069941,0.069941,8.316637,8.316637,0.0,0.0,2.333458,2.333458,0.0,0.0,0.44928,0.541277,-0.091996,-16.996162,0.473972,0.904047,-0.430075,-47.57215,12.94252,12.94252,0.0,0.0,0.391446,0.393094,-0.001648,-0.419287,2.273727,2.321623,-0.047896,-2.063036,-0.426898,-0.368046,-0.058852,15.990304,-0.843887,-0.826512,-0.017375,2.102151,2292.453135,2294.048104,-1.594969,-0.069526
assets_Infrastructure,358,monthly,monthly,12,12,0.684283,0.684283,0.082114,0.082114,9.990115,9.990115,0.0,0.0,5.343619,5.343619,0.0,0.0,0.278087,0.333057,-0.05497,-16.504711,0.578484,0.852668,-0.274185,-32.156076,4.28554,4.28554,-0.0,-0.0,2.756172,2.771656,-0.015484,-0.558659,11.239699,11.455671,-0.215971,-1.885277,-0.42097,-0.413775,-0.007194,1.738692,-1.166017,-1.124626,-0.041392,3.680471,1612.842255,1612.842255,-0.0,-0.0
assets_Commodities,644,monthly,monthly,12,12,0.454959,0.454959,0.054595,0.054595,8.509263,8.509263,0.0,0.0,15.754272,15.754272,0.0,0.0,0.249285,0.257666,-0.008381,-3.252473,0.286393,0.429669,-0.143276,-33.345703,61.725602,61.725602,0.0,0.0,1.284726,1.288728,-0.004002,-0.310559,7.358011,7.441069,-0.083058,-1.116211,-6.0356,-6.020105,-0.015495,0.257388,-7.957951,-7.899698,-0.058253,0.737409,7531.476998,7905.447895,-373.970897,-4.730547
reference_Inflation,488,monthly,monthly,12,12,0.570423,0.570423,0.068451,0.068451,2.38262,2.38262,0.0,0.0,0.702408,0.702408,0.0,0.0,-6.386069,-6.093069,-0.293,4.808742,-2.998048,-3.031038,0.03299,-1.0884,1.598837,1.598837,-0.0,-0.0,0.157865,0.158515,-0.00065,-0.409836,3.910196,3.977289,-0.067093,-1.686913,-0.09311,-0.092253,-0.000857,0.928764,-0.232054,-0.226496,-0.005558,2.453799,160.535619,160.535619,0.0,0.0
reference_World Equity,657,monthly,monthly,12,12,0.454221,0.454221,0.054506,0.054506,9.095825,9.095825,0.0,0.0,14.884904,14.884904,-0.0,-0.0,0.295883,0.304724,-0.008842,-2.901536,0.270545,0.431413,-0.160869,-37.288787,54.029091,54.029091,0.0,0.0,-0.519646,-0.521233,0.001587,-0.304414,1.451996,1.479134,-0.027138,-1.834715,-7.04572,-6.773352,-0.272368,4.02117,-9.90067,-9.814156,-0.086514,0.881519,11437.545042,11648.842788,-211.297745,-1.813895
reference_Gold,644,monthly,monthly,12,12,0.454959,0.454959,0.054595,0.054595,8.807068,8.807068,0.0,0.0,19.0616,19.0616,0.0,0.0,0.250227,0.257153,-0.006926,-2.693501,0.300936,0.430198,-0.129262,-30.047156,51.180428,51.180428,0.0,0.0,0.847774,0.850415,-0.002641,-0.310559,3.881394,3.931859,-0.050465,-1.283487,-6.9583,-6.898885,-0.059415,0.861226,-10.096025,-10.000942,-0.095083,0.950736,8759.50381,9173.949278,-414.445467,-4.517634
reference_Oil,488,monthly,monthly,12,12,0.570423,0.570423,0.068451,0.068451,4.707905,4.707905,0.0,0.0,33.512976,33.512976,0.0,0.0,0.102543,0.108684,-0.006141,-5.650375,0.101251,0.158254,-0.057003,-36.019872,95.809301,95.809301,0.0,0.0,0.224012,0.224934,-0.000922,-0.409836,4.608244,4.683991,-0.075747,-1.617143,-13.3671,-13.360345,-0.006755,0.05056,-20.251421,-19.976048,-0.275373,1.378515,588.908684,549.379215,39.52947,7.195298
